Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly values

Station:                  St. Gallen
Altitude [m asl]:         776 m
Coordinates:              47° 25.5' N / 9° 23.9' E

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            2.02.2022


Year  Month        Temperature      Precipitation  
1913      9               10.9              134.3  
1913     10                9.5               37.5  
1913     11                6.0              139.3  
1913     12                0.4               99.4  
1914      1               -5.4              180.0  
1914      2                2.1               32.1  
1914      3                3.4              142.1  
1914      4                7.9               87.2  
1914      5                8.2              253.5  
1914      6               11.9              156.9  
1914      7               14.3              249.7  
1914      8               14.9              159.5  
1914      9               10.9              130.3  
1914     10                7.1               37.3  
1914     11                1.7               89.2  
1914     12                2.5               23.8  
1915      1               -1.1               85.4  
1915      2               -0.7               77.3  
1915      3                0.6              128.7  
1915      4                4.5              110.6  
1915      5               12.4              118.3  
1915      6               15.4              135.3  
1915      7               14.4              227.3  
1915      8               13.5              210.5  
1915      9               10.1               92.2  
1915     10                5.1               50.2  
1915     11               -0.3               59.2  
1915     12                4.5              100.3  
1916      1                2.8               70.5  
1916      2                1.0               80.1  
1916      3                3.0              107.8  
1916      4                5.7               90.5  
1916      5               11.4              113.4  
1916      6               11.0              254.9  
1916      7               14.5              192.6  
1916      8               14.3              157.2  
1916      9               10.0              157.6  
1916     10                7.6              161.9  
1916     11                3.1               94.4  
1916     12                1.2               98.5  
1917      1               -3.5               46.2  
1917      2               -3.6               17.6  
1917      3               -0.2              106.6  
1917      4                2.2              120.4  
1917      5               13.5              104.5  
1917      6               15.7              138.7  
1917      7               15.2              169.6  
1917      8               14.5              222.4  
1917      9               14.1               69.2  
1917     10                5.9              213.4  
1917     11                2.9               89.1  
1917     12               -4.6               20.7  
1918      1                0.4               54.4  
1918      2                0.0               27.5  
1918      3                2.8               34.8  
1918      4                6.5              107.9  
1918      5               11.7               46.2  
1918      6               10.8              198.4  
1918      7               15.1              144.7  
1918      8               14.6              134.5  
1918      9               12.3              158.3  
1918     10                5.8               46.9  
1918     11                2.6               37.0  
1918     12                3.1              180.2  
1919      1               -0.3               38.2  
1919      2               -1.7               74.1  
1919      3                2.4              186.1  
1919      4                2.7              158.9  
1919      5                9.2               52.5  
1919      6               13.6              162.1  
1919      7               12.6              194.9  
1919      8               16.5               95.0  
1919      9               13.8               57.2  
1919     10                4.2               78.8  
1919     11                1.0              110.1  
1919     12                0.7              129.1  
1920      1                2.2               66.9  
1920      2                1.5               15.8  
1920      3                4.8               64.5  
1920      4                7.3              105.9  
1920      5               13.0              171.2  
1920      6               13.2              133.8  
1920      7               15.3              291.3  
1920      8               13.3              106.9  
1920      9               12.3              124.9  
1920     10                6.9                3.3  
1920     11                1.1                7.4  
1920     12                0.4               54.3  
1921      1                3.3               57.8  
1921      2               -0.9                7.3  
1921      3                3.6               38.8  
1921      4                4.9              139.4  
1921      5               11.6               80.3  
1921      6               13.6              139.8  
1921      7               17.7               62.4  
1921      8               15.1              118.5  
1921      9               13.0               95.9  
1921     10               10.2               72.1  
1921     11               -0.7              120.1  
1921     12                0.0               52.6  
1922      1               -2.3              133.7  
1922      2               -1.0               78.7  
1922      3                3.0              103.3  
1922      4                4.2              163.0  
1922      5               12.1              100.8  
1922      6               14.1              336.3  
1922      7               14.1              252.1  
1922      8               14.6              197.5  
1922      9                9.6              204.5  
1922     10                5.2              138.1  
1922     11                0.8              116.9  
1922     12                0.3               82.8  
1923      1               -1.0               96.4  
1923      2                2.0               84.5  
1923      3                3.1               37.9  
1923      4                5.5              103.3  
1923      5               10.5              112.3  
1923      6                9.7              211.8  
1923      7               17.4               88.4  
1923      8               15.6              106.2  
1923      9               12.1               84.8  
1923     10               10.3              104.0  
1923     11                2.4              127.0  
1923     12               -1.1              147.1  
1924      1               -3.3               38.8  
1924      2               -3.8               19.8  
1924      3                1.3               42.5  
1924      4                5.9              149.9  
1924      5               11.6              256.7  
1924      6               13.1              286.4  
1924      7               15.0              317.7  
1924      8               12.2              259.5  
1924      9               12.3               87.3  
1924     10                8.4               53.1  
1924     11                2.9               12.6  
1924     12                0.1               38.6  
1925      1                1.2               31.6  
1925      2                2.2               54.9  
1925      3               -1.1               78.2  
1925      4                6.1              155.3  
1925      5               10.5               91.3  
1925      6               13.8              148.5  
1925      7               15.0              156.8  
1925      8               14.6              141.6  
1925      9                9.7              160.7  
1925     10                8.1               61.1  
1925     11                1.1               67.0  
1925     12                0.1              115.2  
1926      1               -0.7               69.2  
1926      2                4.3               34.6  
1926      3                2.8               91.7  
1926      4                7.6               36.3  
1926      5                8.7              229.2  
1926      6               11.1              345.4  
1926      7               14.6              254.4  
1926      8               14.7               67.8  
1926      9               14.1               44.0  
1926     10                8.5              112.0  
1926     11                5.7               84.7  
1926     12               -1.7               54.4  
1927      1               -0.3              107.7  
1927      2               -1.3               60.5  
1927      3                3.5              106.2  
1927      4                6.4              179.1  
1927      5               10.9              111.4  
1927      6               13.7              239.6  
1927      7               15.5              187.9  
1927      8               14.4              252.7  
1927      9               12.3              212.4  
1927     10                7.2               22.5  
1927     11                2.9               72.7  
1927     12               -1.8               51.2  
1928      1                1.6               60.3  
1928      2                1.1               92.2  
1928      3                2.7               52.6  
1928      4                6.3              111.3  
1928      5                7.7              136.6  
1928      6               13.9              172.1  
1928      7               18.5               74.4  
1928      8               15.9              233.7  
1928      9               11.6              101.3  
1928     10                7.9              100.5  
1928     11                4.6              129.4  
1928     12               -1.3               83.0  
1929      1               -6.2               73.8  
1929      2               -8.7               30.8  
1929      3                2.1               25.4  
1929      4                3.3              153.1  
1929      5               11.0               56.5  
1929      6               14.2              206.0  
1929      7               16.3              151.8  
1929      8               15.0              232.2  
1929      9               14.7               48.9  
1929     10                8.9              130.1  
1929     11                4.1               39.0  
1929     12                2.5              112.4  
1930      1                1.4               28.9  
1930      2               -1.7               23.1  
1930      3                3.6               72.0  
1930      4                6.5              179.6  
1930      5                9.3              279.8  
1930      6               16.4               69.9  
1930      7               14.5              358.1  
1930      8               14.8              182.9  
1930      9               12.7              174.6  
1930     10                7.6              186.6  
1930     11                6.4              120.3  
1930     12                0.0               46.7  
1931      1               -1.3              107.2  
1931      2               -2.5              124.3  
1931      3               -1.6              131.2  
1931      4                4.5              102.8  
1931      5               12.9              132.1  
1931      6               15.8              156.1  
1931      7               14.9              258.8  
1931      8               13.4              218.1  
1931      9                7.9              124.5  
1931     10                6.3              108.9  
1931     11                4.5               29.4  
1931     12               -2.1               59.0  
1932      1               -0.3               89.8  
1932      2               -5.8               32.3  
1932      3               -0.5               66.7  
1932      4                5.0              117.2  
1932      5                9.7              219.7  
1932      6               12.5              230.4  
1932      7               15.0              276.9  
1932      8               17.5              127.5  
1932      9               15.4              115.7  
1932     10                8.0              144.9  
1932     11                3.5               47.8  
1932     12                0.4               20.5  
1933      1               -3.7               56.4  
1933      2               -1.1               69.8  
1933      3                3.4               66.8  
1933      4                6.1               78.5  
1933      5                8.8              240.5  
1933      6               11.2              302.2  
1933      7               16.3              224.9  
1933      8               16.1               59.8  
1933      9               12.5               77.4  
1933     10                8.1              129.4  
1933     11                2.3               78.0  
1933     12               -5.6               23.6  
1934      1               -1.5               88.3  
1934      2               -1.6               15.5  
1934      3                2.5               53.7  
1934      4                9.2               22.9  
1934      5               12.1               97.7  
1934      6               14.0              231.5  
1934      7               16.5              172.6  
1934      8               14.3              317.4  
1934      9               13.9              216.7  
1934     10                8.0               98.4  
1934     11                2.4               34.9  
1934     12                3.7               70.5  
1935      1               -3.6               80.8  
1935      2                0.3              135.1  
1935      3                1.0               75.4  
1935      4                5.4              129.0  
1935      5                8.4              176.9  
1935      6               15.8              126.6  
1935      7               16.6              120.5  
1935      8               14.3              222.6  
1935      9               12.8              110.4  
1935     10                7.8              202.4  
1935     11                4.3               50.5  
1935     12               -1.3              126.2  
1936      1                3.2              100.4  
1936      2               -0.4               72.2  
1936      3                4.8               43.9  
1936      4                5.5              193.4  
1936      5               10.3               72.8  
1936      6               13.5              166.0  
1936      7               14.8              283.3  
1936      8               14.5              126.0  
1936      9               12.2              188.8  
1936     10                4.4               95.1  
1936     11                2.9               49.6  
1936     12                0.5               46.5  
1937      1               -0.5               58.3  
1937      2                2.0              126.7  
1937      3                2.3               79.5  
1937      4                5.9               91.8  
1937      5               12.4              138.7  
1937      6               15.0              191.9  
1937      7               16.3              154.1  
1937      8               15.3              227.9  
1937      9               11.4              206.2  
1937     10                8.2               56.6  
1937     11                2.6               84.7  
1937     12               -1.5               64.7  
1938      1                0.0              127.3  
1938      2               -1.4               38.5  
1938      3                5.1               60.9  
1938      4                2.8               93.0  
1938      5                8.6              167.2  
1938      6               15.4              161.9  
1938      7               15.4              249.9  
1938      8               15.1              291.9  
1938      9               12.4               96.6  
1938     10                7.6               65.9  
1938     11                5.4               32.1  
1938     12               -2.7               83.6  
1939      1                1.0               40.5  
1939      2                0.0               27.1  
1939      3                0.1              129.6  
1939      4                7.5               49.2  
1939      5                7.6              307.2  
1939      6               13.9              172.8  
1939      7               14.9              215.3  
1939      8               15.5              105.5  
1939      9               11.2              167.5  
1939     10                6.6              246.3  
1939     11                5.2               95.5  
1939     12               -2.3               84.2  
1940      1               -7.3               71.8  
1940      2               -1.0               95.4  
1940      3                2.6              105.3  
1940      4                6.7              103.3  
